probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven
PLATE, DISH, f,0:09,0:06,0:03,4444444,j
LIVE, DIE, j,0:06,0,0:12,5555555,f
NEAR, FAR, j,0:06,0:02,0:10,6666666,j
WIN, LOSE, j,0:06,0:06,0:06,7777777,f
SUGAR, SWEET, f,0:09,0,0:09,8888888,j
CARPET, RUG, f,0:09,0:02,0:07,9999999,f
PAIR, SET, j,0:09,0:06,0:03,10101010101010,j
ROCK, STONE, f,0:06,0,0:12,1111111,f
LEAVE, STAY, j,0:06,0:02,0:10,2222222,j
AISLES, ROWS, j,0:06,0:06,0:06,3333333,f
OPEN, CLOSE, j,0:09,0,0:09,4444444,j
WHISTLE, TRAIN, j,0:09,0:02,0:07,5555555,f
SKIRT, DRESS, j,0:09,0:06,0:03,6666666,j
OUT, IN, j,0:06,0,0:12,7777777,f
SALE, AUCTION, j,0:06,0:02,0:10,8888888,j
UP, DOWN, j,0:06,0:06,0:06,9999999,f
CASH, CHECK, j,0:09,0,0:09,10101010101010,j
WAG, TAIL, f,0:09,0:02,0:07,1111111,f
PRIEST, CHURCH, j,0:09,0:06,0:03,2222222,j
DRIP, LEAK, f,0:06,0,0:12,3333333,f
SNOW, RAIN, j,0:06,0:02,0:10,4444444,j
DIPLOMA, DEGREE, f,0:06,0:06,0:06,5555555,f
CHORUS, CHOIR, f,0:09,0,0:09,6666666,j
CHEDDAR, CHEESE, f,0:09,0:02,0:07,7777777,f
INK, PEN, j,0:09,0:06,0:03,8888888,j
HUG, KISS, j,0:06,0,0:12,9999999,f
GROW, SHRINK, j,0:06,0:02,0:10,10101010101010,j
NORTH, SOUTH, j,0:06,0:06,0:06,1111111,f
MONKEY, APE, j,0:09,0,0:09,2222222,j
MELODY, TUNE, f,0:09,0:02,0:07,3333333,f
POTS, PANS, j,0:09,0:06,0:03,4444444,j
HEAD, HAIR, j,0:06,0,0:12,5555555,f
OIL, GAS, j,0:06,0:02,0:10,6666666,j
CITY, TOWN, j,0:06,0:06,0:06,7777777,f
DIME, NICKEL, j,0:09,0,0:09,8888888,j
READ, WRITE, j,0:09,0:02,0:07,9999999,f
PIE, CAKE, j,0:09,0:06,0:03,10101010101010,j
DOORS, WINDOWS, j,0:06,0,0:12,1111111,f
POSTER, SIGN, j,0:06,0:02,0:10,2222222,j
JUSTICE, LAW, j,0:06,0:06,0:06,3333333,f
GUN, SHOOT, f,0:09,0,0:09,4444444,j
ICE, COLD, f,0:09,0:02,0:07,5555555,f
DESK, DRAWER, j,0:09,0:06,0:03,6666666,j
OCEAN, SEA, f,0:06,0,0:12,7777777,f
PAST, FUTURE, j,0:06,0:02,0:10,8888888,j
ALWAYS, NEVER, j,0:06,0:06,0:06,9999999,f
STATION, DEPOT, j,0:09,0,0:09,10101010101010,j
OVER, UNDER, j,0:09,0:02,0:07,1111111,f
MOON, STAR, j,0:09,0:06,0:03,2222222,j
ELBOW, KNEE, j,0:06,0,0:12,3333333,f
FORK, SPOON, j,0:06,0:02,0:10,4444444,j
TEAM, PLAYER, j,0:06,0:06,0:06,5555555,f
THROW, PITCH, f,0:09,0,0:09,6666666,j
FOX, WOLF, j,0:09,0:02,0:07,7777777,f
MILK, CREAM, j,0:09,0:06,0:03,8888888,j
HEAVEN, HELL, j,0:06,0,0:12,9999999,f
LETTER, NOTE, j,0:06,0:02,0:10,10101010101010j
COWARD, HERO, j,0:06,0:06,0:06,1111111,f
BEST, WORST, j,0:09,0,0:09,2222222,j
SHOE, SOCK, j,0:09,0:02,0:07,3333333,f
MAIL, STAMP, j,0:09,0:06,0:03,4444444,j
JOY, HAPPY, f,0:06,0,0:12,5555555,f
COMB, BRUSH, j,0:06,0:02,0:10,6666666,j
SCREAM, YELL, f,0:06,0:06,0:06,7777777,f
APPEAR, SEE, j,0:09,0,0:09,8888888,j
CHEW, SWALLOW, j,0:09,0:02,0:07,9999999,f
HER, HIM, j,0:09,0:06,0:03,10101010101010,j
TALK, SPEAK, f,0:06,0,0:12,1111111,f
SQUARE, CIRCLE, j,0:06,0:02,0:10,2222222,j
GRASS, GREEN, j,0:06,0:06,0:06,3333333,f
BLANKET, SHEET, j,0:09,0,0:09,4444444,j
YES, NO, j,0:09,0:02,0:07,5555555,f
HERE, THERE, j,0:09,0:06,0:03,6666666,j
MOW, LAWN, j,0:06,0,0:12,7777777,f
STAND, SIT, j,0:06,0:02,0:10,88888888,j
TASTE, SMELL, j,0:06,0:06,0:06,9999999,f
NEEDLE, THREAD, f,0:09,0,0:09,10101010101010,j
NUMBERS, LETTERS, j,0:09,0:02,0:07,1111111,f
POLICE, COPS, f,0:09,0:06,0:03,2222222,j
CURSE, SWEAR, f,0:06,0,0:12,3333333,f
SILENT, MUTE, j,0:06,0:02,0:10,4444444,j
MORE, LESS, j,0:06,0:06,0:06,5555555,f
RICH, POOR, j,0:09,0,0:09,6666666,j
ON, OFF, j,0:09,0:02,0:07,7777777,f
BLIND, DEAF, j,0:09,0:06,0:03,8888888,j
TAVERN, BAR, j,0:06,0,0:12,9999999,f
PEACH, PLUM, f,0:06,0:02,0:10,10101010101010,j
BICEPS, MUSCLES, j,0:06,0:06,0:06,1111111,f
PARK, BENCH, j,0:09,0,0:09,2222222,j
WEIGH, SCALE, f,0:09,0:02,0:07,3333333,f
SPIDER, WEB, j,0:09,0:06,0:03,4444444,j
AFRAID, FEAR, f,0:06,0,0:12,5555555,f
BUG, INSECT, f,0:06,0:02,0:10,6666666,j
SHOVEL, SPADE, f,0:06,0:06,0:06,7777777,f
THIEF, STEAL, f,0:09,0,0:09,8888888,j
PLAY, GAME, j,0:09,0:02,0:07,9999999,f
TOWEL, RAG, j,0:09,0:06,0:03,10101010101010,j
CALF, COW, j,0:06,0,0:12,1111111,f
REST, RELAX, f,0:06,0:02,0:10,2222222,j
SWINDLE, CHEAT, f,0:06,0:06,0:06,3333333,f
BACON, EGGS, j,0:09,0,0:09,4444444,j
HELP, ASSIST, f,0:09,0:02,0:07,5555555,f
LION, TIGER, j,0:09,0:06,0:03,6666666,j
EAT, DRINK, j,0:06,0,0:12,7777777,f
ENERGY, POWER, f,0:06,0:02,0:10,8888888,j
FRESH, STALE, j,0:06,0:06,0:06,9999999,f
FROWN, SMILE, j,0:09,0,0:09,10101010101010,j
BEETLE, ROACH, j,0:09,0:02,0:07,1111111,f
ONE, TWO, j,0:09,0:06,0:03,2222222,j
KEY, LOCK, f,0:06,0,0:12,3333333,f
HALF, WHOLE, j,0:06,0:02,0:10,4444444,j
TRUE, FALSE, j,0:06,0:06,0:06,5555555,f
FISH, SWIM, j,0:09,0,0:09,6666666,j
LABOR, WORK, f,0:09,0:02,0:07,7777777,f
CRAZY, INSANE, j,0:09,0:06,0:03,8888888,j
SOON, SHORTLY, f,0:06,0,0:12,9999999,f
DOE, DEER, j,0:06,0:02,0:10,10101010101010,j
KNIT, SEW, j,0:06,0:06,0:06,1111111,f
BLOSSOM, FLOWERS, f,0:09,0,0:09,2222222,f
NORMAL, REGULAR, f,0:09,0:02,0:07,3333333,f
FOG, HAZE, f,0:09,0:06,0:03,4444444,j
LUNG, HEART, j,0:06,0,0:12,5555555,f
WAR, PEACE, j,0:06,0:02,0:10,6666666,j
FOLLOW, LEAD, j,0:06,0:06,0:06,7777777,f
STING, HURT, f,0:09,0,0:09,8888888,j
HIDE, SEEK, j,0:09,0:02,0:07,9999999,f
PASS, FAIL, j,0:09,0:06,0:03,10101010101010,j
SCISSOR, CUT, f,0:06,0,0:12,1111111,f
SCARF, NECK, f,0:06,0:02,0:10,2222222,j
LEAP, JUMP, f,0:06,0:06,0:06,3333333,f
HOP, SKIP, j,0:09,0,0:09,4444444,j
MIX, STIR, f,0:09,0:02,0:07,5555555,f
ROUGH, SMOOTH, j,0:09,0:06,0:03,6666666,j
CIGAR, PIPE, j,0:06,0,0:12,7777777,f
RAT, MOUSE, f,0:06,0:02,0:10,88888888,j
TURTLE, SHELL, f,0:06,0:06,0:06,9999999,f
SON, FATHER, j,0:09,0,0:09,10101010101010,j
SKUNK, STINK, f,0:09,0:02,0:07,1111111,f
TAKE, GIVE, j,0:09,0:06,0:03,2222222,j
BANK, TELLER, j,0:06,0,0:12,3333333,f
NAIL, HAMMER, j,0:06,0:02,0:10,4444444,j
PILOT, PLANE, j,0:06,0:06,0:06,5555555,f
EASIER, HARDER, j,0:09,0,0:09,6666666,j
SHEEP, LAMB, j,0:09,0:02,0:07,7777777,f
EASY, SIMPLE, f,0:09,0:06,0:03,8888888,j
